split,model,amount,level,metric,value,pvalue
2,BVCC,40,Utterance,LCC,0.8551327839889955,1.365797086118333e-32
2,BVCC,40,Utterance,SRCC,0.8248370816211972,1.651951807396536e-28
2,BVCC,40,Utterance,KTAU,0.6380245465519885,5.199175184985491e-23
2,BVCC,40,System,LCC,0.9216542411168988,5.508585328987376e-05
2,BVCC,40,System,SRCC,0.7636363636363637,0.0062330597479047
2,BVCC,40,System,KTAU,0.6000000000000001,0.00994553671637
2,SOMOS,0,Utterance,MSE,0.7470210436546796,NaN
2,SOMOS,0,System,MSE,0.3137759837549116,NaN
2,SOMOS,0,Utterance,LCC,0.1541497055892746,0.1078586033926811
2,SOMOS,0,Utterance,SRCC,0.1733348060459761,0.0701536619148561
2,SOMOS,0,Utterance,KTAU,0.1127888581247762,0.080781470639926
2,SOMOS,0,System,LCC,0.3770088732540859,0.2530585212663853
2,SOMOS,0,System,SRCC,0.1727272727272727,0.6115423848512369
2,SOMOS,0,System,KTAU,0.1636363636363636,0.5422593494468494
2,SOMOS,10,Utterance,MSE,0.5180257381376416,NaN
2,SOMOS,10,System,MSE,0.2362355546083802,NaN
2,SOMOS,10,Utterance,LCC,0.5843544332568809,2.057365873656256e-11
2,SOMOS,10,Utterance,SRCC,0.5961043850037231,6.395133783319294e-12
2,SOMOS,10,Utterance,KTAU,0.4284641829355404,3.28089424153157e-11
